"data_source","correlation_id","name","os_domain","serial_number","model_id_id","manufacturer_id","virtual","platform_type","platform_label","os_product","os_version","os_patchlevel","os_edition","cpu_manufacturer_id","cpu_model","cpu_count","cores_per_cpu","cpu_threaded","cpu_speed","ram","disk_space","last_logged_in_user","last_discovered","task_id","data_token","is_deleted"
"SNOW","00a96c0d3790200044e0bfc8bcbe5db4","MacBook Pro 15""","NULL","ABE-486-V17263-DO","109171224982478","4611","no","","","","","","","6720","Core i7 Mobile Processor i7-2675QM 2.20 GHz (Sandy Bridge)","1","4","1","0","0","","","","17138","7932496990","false"
"SNOW","00a9a80d3790200044e0bfc8bcbe5d1c","MacBook Air 13""","NULL","FVG-200-L80989-GT","129070023440847","4611","no","","","","","","","6720","Core i5 Mobile Processor i5-2557M 1.70 GHz (Sandy Bridge)","1","2","1","0","0","","","","17138","7932496990","false"
"SNOW","00a9e80d3790200044e0bfc8bcbe5d42","MacBook Pro 17""","NULL","TXB-689-G27045-EN","109171224982406","4611","no","","","","","","","6720","Core i7 Mobile Processor i7-2760QM 2.40 GHz (Sandy Bridge)","1","4","1","0","0","","","","17138","7932496990","false"
"SNOW","00a9e80d3790200044e0bfc8bcbe5de8","MacBook Pro 17""","NULL","NFN-992-U67842-EU","109171224982406","4611","no","","","","","","","6720","Core i7 Mobile Processor i7-2760QM 2.40 GHz (Sandy Bridge)","1","4","1","0","0","","","","17138","7932496990","false"
"SNOW","00a9ec0d3790200044e0bfc8bcbe5d06","MacBook Pro 15""","NULL","VQK-247-N84874-UV","109171224982478","4611","no","","","","","","","6720","Core i7 Mobile Processor i7-2675QM 2.20 GHz (Sandy Bridge)","1","4","1","0","0","","","","17138","7932496990","false"
"SNOW","01a9280d3790200044e0bfc8bcbe5d79","MacBook Air 13""","NULL","VNU-432-U92407-EN","129070023440847","4611","no","","","","","","","6720","Core i5 Mobile Processor i5-2557M 1.70 GHz (Sandy Bridge)","1","2","1","0","0","","","","17138","7932496990","false"
"SNOW","01a92c0d3790200044e0bfc8bcbe5d27","MacBook Pro 17""","NULL","BSJ-784-F58526-KN","109171224982406","4611","no","","","","","","","6720","Core i7 Mobile Processor i7-2760QM 2.40 GHz (Sandy Bridge)","1","4","1","0","0","","","","17138","7932496990","false"
"SNOW","01a9e40d3790200044e0bfc8bcbe5dab","ThinkStation C20","NULL","QXN-744-B67838-LL","1336768738744902","7053","no","Desktop","Windows","Windows XP Professional","5.1","","Professional","6720","Xeon Processor E5620 2.40 GHz (Gulftown/Westmere-EP)","1","4","1","0","0","","","","17138","7932496990","false"
"SNOW","01a9ec0d3790200044e0bfc8bcbe5dc3","ThinkStation S20","NULL","WCL-206-Q10853-BF","868139626833004","7053","no","Desktop","Windows","Windows XP Professional","5.1","","Professional","6720","Xeon Processor E5506 2.13 GHz (Nehalem-EP/Gainestown)","1","4","0","0","0","","","","17138","7932496990","false"
"SNOW","02002d9534a00300964f8dc23c99ea35","VirtualMachine-WS21","NULL","SAM-48F40","10338176601033818537","442549357","no","Server","Windows","Windows Server 2008 Datacenter x64","6.1","","Datacenter x64","","","2","","","0","0","","","","17138","7932496990","false"
"SNOW","02a9604d3790200044e0bfc8bcbe5d17","Precision T5500 Workstation","NULL","VVM-370-F60616-KN","10338176921033819567","442549357","no","Desktop","Windows","Windows XP Professional","5.1","","Professional","","","1","","","0","0","","","","17138","7932496990","false"
"SNOW","02a9604d3790200044e0bfc8bcbe5d56","Precision T5500 Workstation","NULL","DVS-360-J56754-QH","10338176921033819567","442549357","no","Desktop","Windows","Windows XP Professional","5.1","","Professional","","","1","","","0","0","","","","17138","7932496990","false"
"SNOW","02a9a80d3790200044e0bfc8bcbe5dab","MacBook Pro 17""","NULL","FDA-529-D57225-IQ","109171224982406","4611","no","","","","","","","6720","Core i7 Mobile Processor i7-2760QM 2.40 GHz (Sandy Bridge)","1","4","1","0","0","","","","17138","7932496990","false"
"SNOW","02a9ac0d3790200044e0bfc8bcbe5d4f","MacBook Pro 15""","NULL","UXG-757-J29418-ED","109171224982478","4611","no","","","","","","","6720","Core i7 Mobile Processor i7-2675QM 2.20 GHz (Sandy Bridge)","1","4","1","0","0","","","","17138","7932496990","false"
"SNOW","02ec263e0b203200dc03650d37673acf","Server-WS1","NULL","SAM-20F11","10338176601033818537","442549357","no","Desktop","Windows","Windows XP Professional","5.1","","Professional","","","2","","","2800","2048","","","","17138","7932496990","false"
"SNOW","03a96c0d3790200044e0bfc8bcbe5d36","MacBook Pro 17""","NULL","QKV-776-X14672-NR","109171224982406","4611","no","","","","","","","6720","Core i7 Mobile Processor i7-2760QM 2.40 GHz (Sandy Bridge)","1","4","1","0","0","","","","17138","7932496990","false"
"SNOW","03a9e40d3790200044e0bfc8bcbe5d6c","Thinkpad T20","NULL","DWS-188-S25525-QU","146442649518227","7053","no","Desktop","Windows","Windows XP Professional","5.1","","Professional","6720","Pentium III Processor 700 MHz (Coppermine)","1","1","0","0","0","","","","17138","7932496990","false"
"SNOW","04a9280d3790200044e0bfc8bcbe5dd0","MacBook Air 13""","NULL","CAQ-671-M85503-HW","129070023440847","4611","no","","","","","","","6720","Core i5 Mobile Processor i5-2557M 1.70 GHz (Sandy Bridge)","1","2","1","0","0","","","","17138","7932496990","false"
"SNOW","04a96c0d3790200044e0bfc8bcbe5da4","MacBook Pro 15""","NULL","EHP-115-F40135-TT","109171224982478","4611","no","","","","","","","6720","Core i7 Mobile Processor i7-2675QM 2.20 GHz (Sandy Bridge)","1","4","1","0","0","","","","17138","7932496990","false"
"SNOW","04a9e80d3790200044e0bfc8bcbe5d32","MacBook Pro 17""","NULL","IDP-417-H70958-BC","109171224982406","4611","no","","","","","","","6720","Core i7 Mobile Processor i7-2760QM 2.40 GHz (Sandy Bridge)","1","4","1","0","0","","","","17138","7932496990","false"
"SNOW","05a9ac0d3790200044e0bfc8bcbe5d22","MacBook Pro 15""","NULL","KIE-450-K88260-FO","109171224982478","4611","no","","","","","","","6720","Core i7 Mobile Processor i7-2675QM 2.20 GHz (Sandy Bridge)","1","4","1","0","0","","","","17138","7932496990","false"
"SNOW","05a9e40d3790200044e0bfc8bcbe5dc3","ThinkStation C20","NULL","FJO-186-O59521-BE","1336768738744902","7053","no","Desktop","Windows","Windows XP Professional","5.1","","Professional","6720","Xeon Processor E5620 2.40 GHz (Gulftown/Westmere-EP)","1","4","1","0","0","","","","17138","7932496990","false"
