"data_source","computer_id","name","file_system","short_description","free_space","disk_space","volume_name","volume_serial_number","data_token","is_deleted"
"SCCM","SCCM_SERIALSC20000BDNACORP\BDNASC20000","A:","","3 1/2 Inch Floppy Drive","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20000BDNACORP\BDNASC20000","C:","NTFS","Local Fixed Disk","","","","5880876D","7932496990","false"
"SCCM","SCCM_SERIALSC20000BDNACORP\BDNASC20000","D:","NTFS","Local Fixed Disk","","","Data","F01E37D2","7932496990","false"
"SCCM","SCCM_SERIALSC20000BDNACORP\BDNASC20000","E:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20001BDNACORP\BDNASC20001","A:","","3 1/2 Inch Floppy Drive","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20001BDNACORP\BDNASC20001","C:","NTFS","Local Fixed Disk","","","","64E0E5CE","7932496990","false"
"SCCM","SCCM_SERIALSC20001BDNACORP\BDNASC20001","D:","NTFS","Local Fixed Disk","","","","4283E865","7932496990","false"
"SCCM","SCCM_SERIALSC20001BDNACORP\BDNASC20001","X:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20002BDNACORP\BDNASC20002","A:","","3 1/2 Inch Floppy Drive","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20002BDNACORP\BDNASC20002","C:","NTFS","Local Fixed Disk","","","","8A429A75","7932496990","false"
"SCCM","SCCM_SERIALSC20002BDNACORP\BDNASC20002","D:","NTFS","Local Fixed Disk","","","Data","C4C4D5E3","7932496990","false"
"SCCM","SCCM_SERIALSC20002BDNACORP\BDNASC20002","E:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20003BDNACORP\BDNASC20003","A:","","3 1/2 Inch Floppy Drive","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20003BDNACORP\BDNASC20003","C:","NTFS","Local Fixed Disk","","","","64E0E5CE","7932496990","false"
"SCCM","SCCM_SERIALSC20003BDNACORP\BDNASC20003","D:","NTFS","Local Fixed Disk","","","Data","C02408FB","7932496990","false"
"SCCM","SCCM_SERIALSC20003BDNACORP\BDNASC20003","E:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20003BDNACORP\BDNASC20003","X:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20004BDNACORP\BDNASC20004","A:","","3 1/2 Inch Floppy Drive","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20004BDNACORP\BDNASC20004","C:","NTFS","Local Fixed Disk","","","","8A429A75","7932496990","false"
"SCCM","SCCM_SERIALSC20004BDNACORP\BDNASC20004","D:","NTFS","Local Fixed Disk","","","Data","A2750F64","7932496990","false"
"SCCM","SCCM_SERIALSC20004BDNACORP\BDNASC20004","E:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20005BDNACORP\BDNASC20005","A:","","3 1/2 Inch Floppy Drive","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20005BDNACORP\BDNASC20005","C:","NTFS","Local Fixed Disk","","","","64E0E5CE","7932496990","false"
"SCCM","SCCM_SERIALSC20005BDNACORP\BDNASC20005","D:","NTFS","Local Fixed Disk","","","Data","BC10F6B8","7932496990","false"
"SCCM","SCCM_SERIALSC20005BDNACORP\BDNASC20005","E:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20005BDNACORP\BDNASC20005","P:","NTFS","Local Fixed Disk","","","Page File","E0ACF30F","7932496990","false"
"SCCM","SCCM_SERIALSC20006BDNACORP\BDNASC20006","C:","NTFS","Local Fixed Disk","","","System","E8F1DA63","7932496990","false"
"SCCM","SCCM_SERIALSC20006BDNACORP\BDNASC20006","D:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20007BDNACORP\BDNASC20007","A:","","3 1/2 Inch Floppy Drive","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20007BDNACORP\BDNASC20007","C:","NTFS","Local Fixed Disk","","","","027A587B","7932496990","false"
"SCCM","SCCM_SERIALSC20007BDNACORP\BDNASC20007","D:","NTFS","Local Fixed Disk","","","DATA","26C0D8F0","7932496990","false"
"SCCM","SCCM_SERIALSC20007BDNACORP\BDNASC20007","E:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20008BDNACORP\BDNASC20008","C:","NTFS","Local Fixed Disk","","","System","22FD02C9","7932496990","false"
"SCCM","SCCM_SERIALSC20008BDNACORP\BDNASC20008","D:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20009BDNACORP\BDNASC20009","C:","NTFS","Local Fixed Disk","","","System","50368FFE","7932496990","false"
"SCCM","SCCM_SERIALSC20009BDNACORP\BDNASC20009","D:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20010BDNACORP\BDNASC20010","A:","","3 1/2 Inch Floppy Drive","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20010BDNACORP\BDNASC20010","C:","NTFS","Local Fixed Disk","","","","8A429A75","7932496990","false"
"SCCM","SCCM_SERIALSC20010BDNACORP\BDNASC20010","D:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20010BDNACORP\BDNASC20010","E:","NTFS","Local Fixed Disk","","","SQLDATA","10881F9F","7932496990","false"
"SCCM","SCCM_SERIALSC20010BDNACORP\BDNASC20010","S:","NTFS","Local Fixed Disk","","","","2EA23171","7932496990","false"
"SCCM","SCCM_SERIALSC20010BDNACORP\BDNASC20010","T:","NTFS","Local Fixed Disk","","","","48B4395C","7932496990","false"
"SCCM","SCCM_SERIALSC20010BDNACORP\BDNASC20010","X:","NTFS","Local Fixed Disk","","","MaintenanceBackups","92EEC584","7932496990","false"
"SCCM","SCCM_SERIALSC20011BDNACORP\BDNASC20011","C:","NTFS","Local Fixed Disk","","","System","561CA113","7932496990","false"
"SCCM","SCCM_SERIALSC20011BDNACORP\BDNASC20011","E:","NTFS","Local Fixed Disk","","","Seagate Expansion Drive","C089EB0E","7932496990","false"
"SCCM","SCCM_SERIALSC20011BDNACORP\BDNASC20011","J:","","Removable Disk","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20011BDNACORP\BDNASC20011","Y:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20011BDNACORP\BDNASC20011","Z:","","CD-ROM Disc","","","","","7932496990","false"
"SCCM","SCCM_SERIALSC20012BDNACORP\BDNASC20012","A:","","3 1/2 Inch Floppy Drive","","","","","7932496990","false"
