"data_source","model_number","manufacturer_id","name","category","subcategory","hwid","CAT_HW_PRODUCT_ID","CAT_HW_MODEL_ID","hw_model_lc_id","introduction","introduction_date","introduction_exception","introduction_range_start","introduction_range_end","general_availability","general_availability_date","ga_exception","ga_range_start","ga_range_end","last_availability","last_availability_date","last_availability_exception","last_availability_range_start","last_availability_range_end","obsolete","obsolete_date","obsolete_exception","obsolete_range_start","obsolete_range_end","to_be_deleted","DELETE_REASON","data_token"
"SCCM","","9569","Virtual Machine","Computers","Virtual Machines","1172561407","1172561407","","","","","","","","","","","","","","","","","","","","","","","","","7932496990"
"SCCM","","213049949","Z230 Workstation","Computers","Workstations","236035961","236035961","","","","","","","","","","","","","","","","","","","","","","","","","7932496990"
"SCCM","13 (L321X)","442549357","XPS (Notebook)","Computers","Notebooks","10338176561033818667","1033817656","1033818667","1033818667","01/10/2012","1/10/2012 12:00:00 AM","","","","02/29/2012","2/29/2012 12:00:00 AM","","","","-","","Date not published by vendor","","","-","","Date not published by vendor","","","","","7932496990"
"SCCM","13-2000","213049949","Folio 13 Notebook PC","Computers","Notebooks","236035502236126225","236035502","236126225","236126225","11/16/2011","11/16/2011 12:00:00 AM","","","","12/07/2011","12/7/2011 12:00:00 AM","","","","03/01/2013","3/1/2013 12:00:00 AM","","","","-","","Date not published by vendor","","","","","7932496990"
"SCCM","2540p","213049949","EliteBook Notebook PC","Computers","Notebooks","236034923236126222","236034923","236126222","236126222","03/01/2010","3/1/2010 12:00:00 AM","","","","04/01/2010","4/1/2010 12:00:00 AM","","","","06/15/2012","6/15/2012 12:00:00 AM","","","","-","","Date not published by vendor","","","","","7932496990"
"SCCM","2560p","213049949","EliteBook Notebook PC","Computers","Notebooks","236034923236126223","236034923","236126223","236126223","05/09/2011","5/9/2011 12:00:00 AM","","","","05/23/2011","5/23/2011 12:00:00 AM","","","","12/02/2012","12/2/2012 12:00:00 AM","","","","-","","Date not published by vendor","","","","","7932496990"
"SCCM","3340","442549357","Latitude","Computers","Notebooks","10338176481033819243","1033817648","1033819243","1033819243","08/27/2013","8/27/2013 12:00:00 AM","","","","09/12/2013","9/12/2013 12:00:00 AM","","","","-","","Date not published by vendor","","","-","","Date not published by vendor","","","","","7932496990"
"SCCM","3470","442549357","Latitude","Computers","Notebooks","10338176481033819256","1033817648","1033819256","1033819256","-","","Date not published by vendor","","","-","","Date not published by vendor","","","-","","Date not published by vendor","","","-","","Date not published by vendor","","","","","7932496990"
"SCCM","6730s","213049949","Compaq 6700 Notebook PC","Computers","Notebooks","236034481236094910","236034481","236094910","236094910","06/10/2008","6/10/2008 12:00:00 AM","","","","06/10/2008","6/10/2008 12:00:00 AM","Exact date unknown: a date range is provided","6/10/2008 12:00:00 AM","11/3/2010 12:00:00 AM","11/03/2010","11/3/2010 12:00:00 AM","","","","-","","Date not published by vendor","","","","","7932496990"
"SCCM","6930p","213049949","EliteBook Notebook PC","Computers","Notebooks","236034923236094776","236034923","236094776","236094776","06/10/2008","6/10/2008 12:00:00 AM","","","","07/31/2008","7/31/2008 12:00:00 AM","","","","07/01/2010","7/1/2010 12:00:00 AM","","","","-","","Date not published by vendor","","","","","7932496990"
