"software_id","data_source","manufacturer_id","sw_release_id","name","family","major_version","version","edition","version_group","patchlevel","component","is_licensable","is_suite","category","subcategory","hidden","install_count","sw_model_lc_id","software_id_id","end_of_life","end_of_life_date","end_of_life_range_start","end_of_life_range_end","end_of_life_support_level","end_of_life_exception","general_availability","general_availability_date","ga_exception","ga_range_start","ga_range_end","obsolete_exception","delete_reason","obsolete_support_level","obsolete_range_start","obsolete_range_end","obsolete","obsolete_date","data_token"
"3693","SCCM","593620","","Firefox","","","","","","","","","no","Productivity","Web Browsers","0","6","","","","","","","","","","","","","","","","","","","","","7932496990"
"844268","SCCM","5423","","R.A.V.E.","","","","","","","","","no","Utilities","Other Utilities","0","2","","","","","","","","","","","","","","","","","","","","","7932496990"
"900918","SCCM","900655","","Toolbar","","","","","","","","","no","Utilities","Other Utilities","0","5","","","","","","","","","","","","","","","","","","","","","7932496990"
"942037","SNOW","7365","942037","Windows 95","Windows","4.0","4.0","","95","","","yes","no","Operating Systems","Windows","0","1","942037","942037","12/31/2000","12/31/2000 12:00:00 AM","","","Mainstream Support","","8/15/1995","8/15/1995 12:00:00 AM","","","","","","Extended Support","","","12/31/2001","12/31/2001 12:00:00 AM","7932496990"
"942198","SNOW","7365","942198","Windows XP","Windows","5.1","5.1","Professional","XP","","","yes","no","Operating Systems","Windows","0","263","942198","942198","4/14/2009","4/14/2009 12:00:00 AM","","","Mainstream Support","","12/31/2001","12/31/2001 12:00:00 AM","","","","","","Extended Support","","","4/8/2014","4/8/2014 12:00:00 AM","7932496990"
"472794","SCCM","475460","","WinRAR (WinRAR archiver)","","","","","","","","","no","Utilities","File Managers","0","1","","","","","","","","","","","","","","","","","","","","","7932496990"
"900659","SCCM","7365","","Organization Chart","","","","","","","","","no","Utilities","Other Utilities","0","12","","","","","","","","","","","","","","","","","","","","","7932496990"
"900733","SCCM","7365","",".NET Framework",".NET","","","","","","","","no","Software Development","Application Architecture and Design","0","1","","","","","","","","","","","","","","","","","","","","","7932496990"
"938332","SCCM","7365","938332",".NET Framework",".NET","2.0","2.0","","2.0","","","no","no","Software Development","Application Architecture and Design","0","868","938332","938332","7/12/2011","7/12/2011 12:00:00 AM","","","Mainstream Support (2-Level Policy)","","2/17/2006","2/17/2006 12:00:00 AM","","","","","","Mainstream Support (2-Level Policy)","","","7/12/2011","7/12/2011 12:00:00 AM","7932496990"
"942833","SCCM","7365","942833","Desktop Engine","SQL Server","8.0","8.0","","2000","","","no","no","Database Management Systems (DBMS)","Relational Database","0","1","942833","942833","4/8/2008","4/8/2008 12:00:00 AM","","","Mainstream Support","","11/30/2000","11/30/2000 12:00:00 AM","","","","","","Extended Support","","","4/9/2013","4/9/2013 12:00:00 AM","7932496990"
