"name","data_source","correlation_id","model_number","model_id_id","serial_number","memory","cpus","sys_domain","disks_size","manufacturer_id","data_token","is_deleted"
"BDNASC20000","SCCM","SCCM_SERIALSC20000BDNACORP\BDNASC20000","","","SERIALSC20000","12582392","2","BDNACORP","99.9","9569","7932496990","false"
"BDNASC20001","SCCM","SCCM_SERIALSC20001BDNACORP\BDNASC20001","","","SERIALSC20001","8388088","2","BDNACORP","114.9","9569","7932496990","false"
"BDNASC20002","SCCM","SCCM_SERIALSC20002BDNACORP\BDNASC20002","","","SERIALSC20002","16776756","2","BDNACORP","159.7","9569","7932496990","false"
"BDNASC20003","SCCM","SCCM_SERIALSC20003BDNACORP\BDNASC20003","","","SERIALSC20003","16776760","2","BDNACORP","139.9","9569","7932496990","false"
"BDNASC20004","SCCM","SCCM_SERIALSC20004BDNACORP\BDNASC20004","","","SERIALSC20004","16776756","2","BDNACORP","159.7","9569","7932496990","false"
"BDNASC20005","SCCM","SCCM_SERIALSC20005BDNACORP\BDNASC20005","","","SERIALSC20005","8388152","2","BDNACORP","89.9","9569","7932496990","false"
"BDNASC20007","SCCM","SCCM_SERIALSC20007BDNACORP\BDNASC20007","","","SERIALSC20007","16776756","2","BDNACORP","119.5","9569","7932496990","false"
"BDNASC20010","SCCM","SCCM_SERIALSC20010BDNACORP\BDNASC20010","","","SERIALSC20010","16776756","4","BDNACORP","809.6","9569","7932496990","false"
"BDNASC20012","SCCM","SCCM_SERIALSC20012BDNACORP\BDNASC20012","","","SERIALSC20012","16776756","2","BDNACORP","159.7","9569","7932496990","false"
"BDNASC20013","SCCM","SCCM_SERIALSC20013BDNACORP\BDNASC20013","","","SERIALSC20013","4095192","4","BDNACORP","50","9569","7932496990","false"
"BDNASC20017","SCCM","SCCM_SERIALSC20017BDNACORP\BDNASC20017","","","SERIALSC20017","16776756","2","BDNACORP","159.7","9569","7932496990","false"
"BDNASC20019","SCCM","SCCM_SERIALSC20019BDNACORP\BDNASC20019","","","SERIALSC20019","8388148","2","BDNACORP","59.7","9569","7932496990","false"
"BDNASC20020","SCCM","SCCM_SERIALSC20020BDNACORP\BDNASC20020","","","SERIALSC20020","8388148","2","BDNACORP","159.7","9569","7932496990","false"
"BDNASC20023","SCCM","SCCM_SERIALSC20023BDNACORP\BDNASC20023","","","SERIALSC20023","8388148","1","BDNACORP","59.7","9569","7932496990","false"
"BDNASC20024","SCCM","SCCM_SERIALSC20024BDNACORP\BDNASC20024","","","SERIALSC20024","4193844","1","BDNACORP","59.7","9569","7932496990","false"
"BDNASC20025","SCCM","SCCM_SERIALSC20025BDNACORP\BDNASC20025","","","SERIALSC20025","4193844","1","BDNACORP","79.5","9569","7932496990","false"
"BDNASC20029","SCCM","SCCM_SERIALSC20029BDNACORP\BDNASC20029","","","SERIALSC20029","6290996","2","BDNACORP","124.6","9569","7932496990","false"
"BDNASC20030","SCCM","SCCM_SERIALSC20030BDNACORP\BDNASC20030","","","SERIALSC20030","4193848","2","BDNACORP","59.9","9569","7932496990","false"
"BDNASC20035","SCCM","SCCM_SERIALSC20035BDNACORP\BDNASC20035","","","SERIALSC20035","4193784","2","BDNACORP","59.9","9569","7932496990","false"
"BDNASC20037","SCCM","SCCM_SERIALSC20037BDNACORP\BDNASC20037","","","SERIALSC20037","8388148","2","BDNACORP","139.5","9569","7932496990","false"
"BDNASC20038","SCCM","SCCM_SERIALSC20038BDNACORP\BDNASC20038","","","SERIALSC20038","8388152","4","BDNACORP","89.9","9569","7932496990","false"
"BDNASC20045","SCCM","SCCM_SERIALSC20045BDNACORP\BDNASC20045","","","SERIALSC20045","16776756","2","BDNACORP","159.7","9569","7932496990","false"
"BDNASC20046","SCCM","SCCM_SERIALSC20046BDNACORP\BDNASC20046","","","SERIALSC20046","16776696","2","BDNACORP","419.9","9569","7932496990","false"
"BDNASC20048","SCCM","SCCM_SERIALSC20048BDNACORP\BDNASC20048","","","SERIALSC20048","16776756","2","BDNACORP","59.7","9569","7932496990","false"
"BDNASC20049","SCCM","SCCM_SERIALSC20049BDNACORP\BDNASC20049","","","SERIALSC20049","8388148","2","BDNACORP","99.7","9569","7932496990","false"
"BDNASC20052","SCCM","SCCM_SERIALSC20052BDNACORP\BDNASC20052","","","SERIALSC20052","4193784","2","BDNACORP","79.9","9569","7932496990","false"
"BDNASC20055","SCCM","SCCM_SERIALSC20055BDNACORP\BDNASC20055","","","SERIALSC20055","16776756","2","BDNACORP","59.7","9569","7932496990","false"
"BDNASC20056","SCCM","SCCM_SERIALSC20056BDNACORP\BDNASC20056","","","SERIALSC20056","4193784","2","BDNACORP","99.9","9569","7932496990","false"
"BDNASC20058","SCCM","SCCM_SERIALSC20058BDNACORP\BDNASC20058","","","SERIALSC20058","4193784","2","BDNACORP","79.9","9569","7932496990","false"
"BDNASC20060","SCCM","SCCM_SERIALSC20060BDNACORP\BDNASC20060","","","SERIALSC20060","4193784","2","BDNACORP","79.9","9569","7932496990","false"
"BDNASC20061","SCCM","SCCM_SERIALSC20061BDNACORP\BDNASC20061","","","SERIALSC20061","16776756","2","BDNACORP","59.7","9569","7932496990","false"
"BDNASC20063","SCCM","SCCM_SERIALSC20063BDNACORP\BDNASC20063","","","SERIALSC20063","16776756","2","BDNACORP","119.5","9569","7932496990","false"
"BDNASC20064","SCCM","SCCM_SERIALSC20064BDNACORP\BDNASC20064","","","SERIALSC20064","4193784","2","BDNACORP","79.9","9569","7932496990","false"
"BDNASC20066","SCCM","SCCM_SERIALSC20066BDNACORP\BDNASC20066","","","SERIALSC20066","4193784","2","BDNACORP","119.9","9569","7932496990","false"
"BDNASC20067","SCCM","SCCM_SERIALSC20067BDNACORP\BDNASC20067","","","SERIALSC20067","4193848","2","BDNACORP","79.9","9569","7932496990","false"
"BDNASC20070","SCCM","SCCM_SERIALSC20070BDNACORP\BDNASC20070","","","SERIALSC20070","20971060","2","BDNACORP","119.5","9569","7932496990","false"
"BDNASC20074","SCCM","SCCM_SERIALSC20074BDNACORP\BDNASC20074","","","SERIALSC20074","3145272","1","BDNACORP","99.9","9569","7932496990","false"
"BDNASC20077","SCCM","SCCM_SERIALSC20077BDNACORP\BDNASC20077","","","SERIALSC20077","8388088","4","BDNACORP","259.9","9569","7932496990","false"
"BDNASC20078","SCCM","SCCM_SERIALSC20078BDNACORP\BDNASC20078","","","SERIALSC20078","134217268","2","BDNACORP","1564.5","9569","7932496990","false"
"BDNASC20080","SCCM","SCCM_SERIALSC20080BDNACORP\BDNASC20080","","","SERIALSC20080","4192864","1","BDNACORP","72","9569","7932496990","false"
"BDNASC20084","SCCM","SCCM_SERIALSC20084BDNACORP\BDNASC20084","","","SERIALSC20084","16776756","2","BDNACORP","99.7","9569","7932496990","false"
"BDNASC20094","SCCM","SCCM_SERIALSC20094BDNACORP\BDNASC20094","","","SERIALSC20094","33553972","2","BDNACORP","179.7","9569","7932496990","false"
"BDNASC20096","SCCM","SCCM_SERIALSC20096BDNACORP\BDNASC20096","","","SERIALSC20096","33553976","2","BDNACORP","200","9569","7932496990","false"
"BDNASC20107","SCCM","SCCM_SERIALSC20107BDNACORP\BDNASC20107","","","SERIALSC20107","8388152","4","BDNACORP","89.9","9569","7932496990","false"
"BDNASC20110","SCCM","SCCM_SERIALSC20110BDNACORP\BDNASC20110","","","SERIALSC20110","16776756","4","BDNACORP","159.7","9569","7932496990","false"
"BDNASC20116","SCCM","SCCM_SERIALSC20116BDNACORP\BDNASC20116","","","SERIALSC20116","8388152","2","BDNACORP","119.9","9569","7932496990","false"
"BDNASC20117","SCCM","SCCM_SERIALSC20117BDNACORP\BDNASC20117","","","SERIALSC20117","4193784","2","BDNACORP","79.9","9569","7932496990","false"
"BDNASC20118","SCCM","SCCM_SERIALSC20118BDNACORP\BDNASC20118","","","SERIALSC20118","4193784","2","BDNACORP","79.9","9569","7932496990","false"
"BDNASC20120","SCCM","SCCM_SERIALSC20120BDNACORP\BDNASC20120","","","SERIALSC20120","4193784","2","BDNACORP","79.9","9569","7932496990","false"
"BDNASC20121","SCCM","SCCM_SERIALSC20121BDNACORP\BDNASC20121","","","SERIALSC20121","16776756","2","BDNACORP","119.5","9569","7932496990","false"
"BDNASC20122","SCCM","SCCM_SERIALSC20122BDNACORP\BDNASC20122","","","SERIALSC20122","4193844","2","BDNACORP","59.7","9569","7932496990","false"
"BDNASC20128","SCCM","SCCM_SERIALSC20128BDNACORP\BDNASC20128","","","SERIALSC20128","4193784","2","BDNACORP","119.9","9569","7932496990","false"
"BDNASC20132","SCCM","SCCM_SERIALSC20132BDNACORP\BDNASC20132","","","SERIALSC20132","16776756","2","BDNACORP","119.5","9569","7932496990","false"
"BDNASC20135","SCCM","SCCM_SERIALSC20135BDNACORP\BDNASC20135","","","SERIALSC20135","8388152","4","BDNACORP","89.9","9569","7932496990","false"
"BDNASC20136","SCCM","SCCM_SERIALSC20136BDNACORP\BDNASC20136","","","SERIALSC20136","16776756","2","BDNACORP","559.5","9569","7932496990","false"
"BDNASC20144","SCCM","SCCM_SERIALSC20144BDNACORP\BDNASC20144","","","SERIALSC20144","4193844","2","BDNACORP","59.7","9569","7932496990","false"
"BDNASC20146","SCCM","SCCM_SERIALSC20146BDNACORP\BDNASC20146","","","SERIALSC20146","4193844","2","BDNACORP","59.7","9569","7932496990","false"
"BDNASC20153","SCCM","SCCM_SERIALSC20153BDNACORP\BDNASC20153","","","SERIALSC20153","6291000","2","BDNACORP","109.9","9569","7932496990","false"
"BDNASC20155","SCCM","SCCM_SERIALSC20155BDNACORP\BDNASC20155","","","SERIALSC20155","4193784","2","BDNACORP","69.9","9569","7932496990","false"
